sequencial;tabela;codigo;3descricao;valor;custo;participacao
1;16;039;Empress 2 coroas/ elem. ponte;R$ 400,00;R$ 0,00;
2;17;99.00.110-4;Exame Clínico;R$ 10,05;R$ 0,00;
3;18;101;Amálgama 1 face;R$ 30,00;R$ 0,00;0,00
4;16;001;Amálgama I face;R$ 25,00;R$ 0,00;
5;17;99.00.140-6;Falta não justificada;R$ 10,05;R$ 0,00;
6;18;102;Amálgama 2 faces;R$ 35,00;R$ 0,00;0,00
7;16;002;Amálgama 2 face;R$ 30,00;R$ 0,00;
8;17;99.00.210-0;Rx Perapical;R$ 3,75;R$ 0,00;
9;18;104;Fotopolimerizável CL III;R$ 40,00;R$ 0,00;0,00
10;16;003;Amálgama 3 face;R$ 35,00;R$ 0,00;
11;17;85.00.220-8;Rx Bite-Wing (interproximal);R$ 3,75;R$ 0,00;
12;18;105;Fotopolimerizável CL IV;R$ 50,00;R$ 0,00;0,00
13;16;005;Fotopolimerizável CL IV;R$ 35,00;R$ 0,00;
14;17;85.00.230-5;RX Oclusal;R$ 8,70;R$ 0,00;
15;18;106;Fotopolim. Posterior CL I;R$ 45,00;R$ 0,00;0,00
16;16;006;Fotopolim. CL II;R$ 45,00;R$ 0,00;
17;17;85.00.510-0;Profilaxia (polimento por elemento);R$ 3,40;R$ 0,00;
18;18;107;Fotopolim. CL II;R$ 55,00;R$ 0,00;0,00
19;16;010;Faceta em resina foto;R$ 65,00;R$ 0,00;
20;17;85.00.520-7;Orientação de Higiene Bucal;R$ 10,05;R$ 0,00;
21;18;109;Faceta em resina foto;R$ 80,00;R$ 0,00;0,00
22;16;009;Núcleo prenchimento;R$ 30,00;R$ 0,00;
23;17;85.00.530-4;Aplicação tópica de flúor;R$ 11,25;R$ 0,00;
24;18;110;Núcleo preenchimento;R$ 40,00;R$ 0,00;0,00
25;16;011;Pulpotomia;R$ 35,00;R$ 0,00;
26;17;85.00.910-5;Restauração de amálgama - 1 face;R$ 10,55;R$ 0,00;
27;18;710;Cirurgia c/ retalho;R$ 75,00;R$ 0,00;0,00
28;16;033;Coroa metaloceramica;R$ 300,00;R$ 0,00;
29;17;85.00.920-2;Restauração de amálgama - 2 faces;R$ 15,00;R$ 0,00;
30;18;201;Canal Unirradicular;R$ 120,00;R$ 0,00;0,00
31;16;012;Canal Unirradicular;R$ 70,00;R$ 0,00;
32;17;85.00.930-0;Restauração de amálgama - 3 faces;R$ 18,00;R$ 0,00;
33;18;202;Canal Birradicular;R$ 140,00;R$ 0,00;0,00
34;16;013;Canal Birradicular;R$ 85,00;R$ 0,00;
35;17;85.00.940-7;Restauração de amálgama - 4 faces;R$ 32,50;R$ 0,00;
36;18;203;Canal Multirradicular;R$ 220,00;R$ 0,00;0,00
37;16;014;Canal Multirradicular;R$ 140,00;R$ 0,00;
38;17;85.00.950-4;Restauração de amálgama pin;R$ 35,55;R$ 0,00;
39;18;204;Retrat. Canal Unirradicualr;R$ 145,00;R$ 0,00;0,00
40;16;015;Retrat. Unirradicular;R$ 85,00;R$ 0,00;
41;17;85.00.960-1;Rest. resina fotopol. - classe I, V e VI;R$ 15,00;R$ 0,00;
42;18;205;Retrat. Canal Birradicular;R$ 180,00;R$ 0,00;0,00
43;16;016;Retrat. Birradicular;R$ 110,00;R$ 0,00;
44;17;85.00.970-9;Rest. resina fotopol. - classe III;R$ 20,50;R$ 0,00;
45;18;206;Retrat. Canal Multirradicular;R$ 270,00;R$ 0,00;0,00
46;16;017;Retrat. Multirradicular;R$ 175,00;R$ 0,00;
47;17;85.00.980-6;Rest. resina fotopol. - classe IV e II;R$ 27,00;R$ 0,00;
48;18;709;Rx de 7 à 9 radiog. (total);R$ 45,00;R$ 0,00;0,00
49;16;018;Radiografia;R$ 10,00;R$ 0,00;
50;17;85.00.990-3;Faceta em resina fotopolimerizável;R$ 35,85;R$ 0,00;
51;18;209;Pulpectomia (emergencia)Tri;R$ 55,00;R$ 0,00;0,00
52;16;019;Pulpct. Tri ;R$ 35,00;R$ 0,00;
53;17;85.01.000-6;Resina composta - 1 face;R$ 10,50;R$ 0,00;
54;18;210;Capeamento ;R$ 30,00;R$ 0,00;0,00
55;16;020;Pulpect. Uni/Bi;R$ 30,00;R$ 0,00;
56;17;85.01.010-3;Resina composta - 2 faces ou ângulos;R$ 15,00;R$ 0,00;
57;18;211;Rem. núcleo intrarrad.;R$ 70,00;R$ 0,00;0,00
58;16;021;Capeamento pulpar;R$ 30,00;R$ 0,00;
59;17;85.01.020-0;Resina composta - 3 faces;R$ 18,00;R$ 0,00;
60;18;212;Apicetomia com obt. retrog;R$ 200,00;R$ 0,00;0,00
61;16;022;Rem. núcleo intrarrad.;R$ 45,00;R$ 0,00;
62;17;85.01.030-8;Núcleo de preenchimento com pino;R$ 35,85;R$ 0,00;
63;18;213;Clareamento interno;R$ 120,00;R$ 0,00;0,00
64;16;023;Apicetomia ;R$ 180,00;R$ 0,00;
65;17;85.01.050-2;Núcleo preench. amálgama,ionomero,resina;R$ 22,65;R$ 0,00;
66;18;214;Clar. dentevit (2 arcadas);R$ 300,00;R$ 0,00;0,00
67;16;024;Clareamento (por sessão) ;R$ 40,00;R$ 0,00;
68;17;85.01.070-7;Pinos de retenção -excluindo restauração;R$ 2,85;R$ 0,00;
69;18;302;Bloco metálico;R$ 130,00;R$ 17,00;0,00
70;16;025;Clareamento (por arcada);R$ 150,00;R$ 0,00;
71;17;85.02.100-8;Remoção de Núcleo intrarradicular ;R$ 24,90;R$ 0,00;
72;18;303;Bloco solidex;R$ 270,00;R$ 60,00;0,00
73;16;026;Remoção de bloco / coroa;R$ 30,00;R$ 0,00;
74;17;85.02.110-5;Capeamento Pulpar (excluindo rest.final);R$ 10,05;R$ 0,00;
75;18;304;Bloco porcelana;R$ 300,00;R$ 80,00;0,00
76;16;027;Bloco metalico;R$ 100,00;R$ 0,00;
77;17;85.03.250-6;Terapêutica bás.periodontal -p/quadrante;R$ 11,25;R$ 0,00;
78;18;711;Cirurgia c/ retalho e enxerto;R$ 160,00;R$ 0,00;0,00
79;16;028;Bloco artglass;R$ 200,00;R$ 0,00;
80;17;85.04.030-4;Ajuste oclusal protético por sessão;R$ 23,40;R$ 0,00;
81;18;328;Prótese flexível (acia 7 dentes);R$ 750,00;R$ 110,00;0,00
82;16;029;Jaqueta artglass;R$ 200,00;R$ 0,00;
83;17;85.04.040-1;Restauração Metálica Fundida;R$ 80,40;R$ 14,00;
84;18;305;Coroa veneer;R$ 180,00;R$ 22,00;0,00
85;16;030;Coroa artglass;R$ 200,00;R$ 0,00;
86;17;85.04.060-6;Rem. de Restauração Metálicas e Coroas;R$ 15,30;R$ 0,00;
87;18;307;Coroa Jaqueta acrílica;R$ 130,00;R$ 14,00;0,00
88;16;031;Bloco porcelana ;R$ 250,00;R$ 0,00;
89;17;85.04.070-3;Recol. de Restauração M.Fund. e Coroas;R$ 12,75;R$ 0,00;
90;18;308;Elem. Ponte fixa (metaloplástica);R$ 200,00;R$ 22,00;0,00
91;16;032;Faceta de porcelana;R$ 250,00;R$ 0,00;
92;17;85.04.080-0;Núcleo Metálico Fundido;R$ 55,05;R$ 9,00;
93;18;310;Elem. Ponte fixa (metalocerâmica);R$ 380,00;R$ 100,00;0,00
94;16;034;Coroa veneer;R$ 130,00;R$ 0,00;
95;17;85.04.090-8;Coroa Provisória;R$ 32,10;R$ 0,00;
96;18;314;Núcleo Rosqueado;R$ 80,00;R$ 0,00;0,00
97;16;035;Ponte artglass c/ Ribond;R$ 220,00;R$ 0,00;
98;17;85.04.110-6;Reembas. e Repreparo de Coroa Provisória;R$ 11,40;R$ 0,00;
99;18;315;Provisório dente posterior;R$ 40,00;R$ 0,00;0,00
100;16;036;Coroa Jaqueta acrílica;R$ 100,00;R$ 0,00;
101;17;85.04.120-3;Coroa de Jaqueta Acrílica;R$ 80,70;R$ 14,00;
102;18;505;Consulta adaptação;R$ 30,00;R$ 0,00;0,00
103;16;037;Ponte fixa (metaloplástica);R$ 150,00;R$ 0,00;
104;17;85.04.150-5;Coroa Veneer (metaloplástica);R$ 142,35;R$ 22,00;
105;18;047;Roach gramp.acetal.(a+por grampo);R$ 100,00;R$ 40,00;
106;16;038;Ponte fixa (metaloceramica);R$ 300,00;R$ 0,00;
107;17;85.04.160-2;Coroa Total metálica;R$ 95,40;R$ 0,00;
108;18;712;Splintagem(até 3 elem);R$ 60,00;R$ 0,00;0,00
109;17;85.04.170-0;Coroa 3/4 ou 4/5;R$ 85,35;R$ 15,00;
110;18;602;Cunha distal;R$ 65,00;R$ 0,00;0,00
111;17;85.04.240-4;Prot. Parcial Rem.Provisória em Acrilico;R$ 195,45;R$ 0,00;
112;18;316;Provisório dente anterior;R$ 45,00;R$ 0,00;0,00
113;17;85.04.250-1;Prot. Parcial Rem. c/ grampo bilateral;R$ 320,30;R$ 48,00;
114;18;317;Prótese parcial;R$ 250,00;R$ 48,00;0,00
115;17;85.04.280-3;Reemb.Prótese Removível- total e parcial;R$ 61,95;R$ 0,00;
116;18;318;Prótese Imediata;R$ 280,00;R$ 52,00;0,00
117;17;85.04.290-0;Prótese Total;R$ 320,30;R$ 0,00;
118;18;320;Roach;R$ 320,00;R$ 0,00;0,00
119;17;85.04.310-9;Prótese Total Imediata;R$ 260,85;R$ 0,00;
120;18;321;Roach de encaixe;R$ 800,00;R$ 0,00;0,00
121;17;85.04.360-5;Placa de Mordida Miorrelaxante;R$ 67,35;R$ 0,00;
122;18;322;Encaixe em coroa veneer;R$ 180,00;R$ 0,00;0,00
123;17;85.04.370-2;Jig ou Front-Platô;R$ 11,70;R$ 0,00;
124;18;323;Encaixe em coroa metaloc.;R$ 600,00;R$ 0,00;0,00
125;17;85.04.380-0;Cons. Prot.Total ou Parcial Rem.Incl.Sub;R$ 22,50;R$ 0,00;
126;18;324;Conserto de prótese;R$ 40,00;R$ 0,00;0,00
127;17;85.05.010-5;Exodontia ;R$ 15,00;R$ 0,00;
128;18;325;Placa de mordida;R$ 180,00;R$ 0,00;0,00
129;17;85.05.020-2;Exodontia + Retalho;R$ 18,00;R$ 0,00;
130;18;326;Reembasamento de prótese;R$ 50,00;R$ 0,00;0,00
131;17;85.05.040-7;Alveoplastia (por segmento);R$ 15,00;R$ 0,00;
132;18;301;Exo simples;R$ 35,00;R$ 0,00;0,00
133;17;85.05.050-4;Ulotomia/Ulectomia;R$ 15,00;R$ 0,00;
134;18;402;Exo com retalho;R$ 50,00;R$ 0,00;0,00
135;17;85.05.060-1;Biópsia da Cavidade Bucal;R$ 40,65;R$ 0,00;
136;18;403;Exo ciso erupcio/não impactado;R$ 110,00;R$ 0,00;0,00
137;17;85.05.170-5;Frenectomia Labial Superior;R$ 30,00;R$ 0,00;
138;18;404;Exo ciso semi-inclu/não impactado;R$ 150,00;R$ 0,00;0,00
139;17;85.05.180-2;Frenectomia Lingual;R$ 36,00;R$ 0,00;
140;18;502;Selante;R$ 30,00;R$ 0,00;0,00
141;17;85.05.200-0;Rem. de dentes Inclusos ou Impactados;R$ 67,95;R$ 0,00;
142;18;506;Coroa de aço;R$ 80,00;R$ 0,00;0,00
143;17;85.07.010-6;Consulta de Urgência ;R$ 13,35;R$ 0,00;
144;18;501;Pulpotomia;R$ 50,00;R$ 0,00;0,00
145;17;85.07.020-3;Tratamento Cirurgico de Alveolite;R$ 15,00;R$ 0,00;
146;18;503;Endod. decíduo;R$ 110,00;R$ 0,00;0,00
147;17;85.07.030-0;Tratamento Cirúrgico de Hemorragia;R$ 18,00;R$ 0,00;
148;18;504;Profilaxia e flúor;R$ 30,00;R$ 0,00;0,00
149;17;85.07.040-8;Pulpecomia - Bio e Necro (emergencia);R$ 22,50;R$ 0,00;
150;18;601;Rasp.supra 2 arcadas;R$ 70,00;R$ 0,00;0,00
