Vencimento;Tipo_pagamento;Valor;Pagamento;Observacao;Notas_fiscal;Sequencial;Dentista;cheque_terceiro;opcao_restante;valor_terceiros;valor_cheque;valor_pago;valor_restante;conta;numero_cheque;nao_lancar_livro_caixa;dataExclusao
7/5/2003 00:00:00;1;R$ 26,00;4/5/2006 00:00:00;compras no mecado;;1;;0;6;R$ 0,00;R$ 0,00;R$ 26,00;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 10,00;5/5/2006 00:00:00;PLÁSTICO PRETO;;2;;0;6;R$ 0,00;R$ 0,00;R$ 10,00;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 5,00;5/5/2006 00:00:00;GALAO DE AGUA / 20 LITROS;;3;;0;6;R$ 0,00;R$ 0,00;R$ 5,00;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 40,00;8/5/2006 00:00:00;PANFLETAGEM/HOMERO;;4;;0;6;R$ 0,00;R$ 0,00;R$ 40,00;R$ 0,00;-1;;0;16/5/2006 14:56:19
7/5/2003 00:00:00;1;R$ 5,60;8/5/2006 00:00:00;VAN/ SÍLVIA;;5;;0;6;R$ 0,00;R$ 0,00;R$ 5,60;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 45,00;9/5/2006 00:00:00;COMPRA DE SAPATO/SHEYLA;;6;;0;6;R$ 0,00;R$ 0,00;R$ 45,00;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 3,00;9/5/2006 00:00:00;1 CÓPIA DA CHAVE DA PORTA DE VIDRO;;7;;0;6;R$ 0,00;R$ 0,00;R$ 3,00;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 7,60;9/5/2006 00:00:00;ELAINE/PASSAG/ 08/05/ 09/05-IDA/VOLTA;;8;;0;6;R$ 0,00;R$ 0,00;R$ 7,60;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 3,80;10/5/2006 00:00:00;ELAINE/PASSAGEM - IDA E VOLTA;;9;;0;6;R$ 0,00;R$ 0,00;R$ 3,80;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 3,80;11/5/2006 00:00:00;ELAINE/PASSAGEM -IDA E VOLTA;;10;;0;6;R$ 0,00;R$ 0,00;R$ 3,80;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 40,00;11/5/2006 00:00:00;panfletagem /3 feira - marcos a. lopes;;11;;0;6;R$ 0,00;R$ 0,00;R$ 40,00;R$ 0,00;-1;;0;
11/5/2006 00:00:00;1;R$ 40,00;11/5/2006 00:00:00;panfletagem/ 3 feira - homero modesto;;12;;0;6;R$ 0,00;R$ 0,00;R$ 40,00;R$ 0,00;-1;;0;
7/5/2003 00:00:00;1;R$ 2,00;11/5/2006 00:00:00;papelaria/ compra de 4canetas;;13;;0;6;R$ 0,00;R$ 0,00;R$ 2,00;R$ 0,00;-1;;0;
